Company Name,Industry,Symbol,Yahoo_Symbol
Tata Motors Ltd.,Capital Goods,TMCV,TMCV.NS
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,TMPV.NS
Tata Power Co. Ltd.,Power,TATAPOWER,TATAPOWER.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,TATASTEEL.NS
Tech Mahindra Ltd.,Information Technology,TECHM,TECHM.NS
Titan Company Ltd.,Consumer Durables,TITAN,TITAN.NS
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,TORNTPHARM.NS
Trent Ltd.,Consumer Services,TRENT,TRENT.NS
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,TIINDIA.NS
UPL Ltd.,Chemicals,UPL,UPL.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,ULTRACEMCO.NS
Union Bank of India,Financial Services,UNIONBANK,UNIONBANK.NS
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,UNITDSPR.NS
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,VBL.NS
Vedanta Ltd.,Metals & Mining,VEDL,VEDL.NS
Vishal Mega Mart Ltd.,Consumer Services,VMM,VMM.NS
Vodafone Idea Ltd.,Telecommunication,IDEA,IDEA.NS
Voltas Ltd.,Consumer Durables,VOLTAS,VOLTAS.NS
Waaree Energies Ltd.,Capital Goods,WAAREEENER,WAAREEENER.NS
Wipro Ltd.,Information Technology,WIPRO,WIPRO.NS
Yes Bank Ltd.,Financial Services,YESBANK,YESBANK.NS
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,ZYDUSLIFE.NS
